x_mm,old_unwrapped_rad,new_unwrapped_rad,old_minus_new_rad,reference_candidate_rad,fitted_old_minus_new_rad,residual_rad
-4.864999999999999880e-02,4.019682307179586189e+00,1.565116200000000068e+00,2.454566107179585899e+00,-1.483615253584881799e+01,1.580396037200798576e+00,-1.532796887193654811e-06
-4.859999999999999737e-02,4.050091307179586764e+00,1.565114799999999917e+00,2.484976507179586847e+00,-1.480574400423443748e+01,1.580381626105892057e+00,-8.904575703461148350e-07
-4.855000000000000288e-02,4.080468307179586418e+00,1.565113399999999988e+00,2.515354907179586430e+00,-1.477536644852807513e+01,1.580366956278807633e+00,-1.270961317079155606e-06
-4.850000000000000144e-02,4.110815307179586320e+00,1.565112000000000059e+00,2.545703307179586261e+00,-1.474501986962401645e+01,1.580352030004314567e+00,-6.734138042752135789e-07
-4.845000000000000001e-02,4.141131307179586329e+00,1.565110800000000024e+00,2.576020507179586083e+00,-1.471470426841585777e+01,1.580336849566790214e+00,-2.969214043524459612e-07
-4.839999999999999858e-02,4.171415307179586307e+00,1.565109599999999990e+00,2.606305707179586317e+00,-1.468441964579649017e+01,1.580321417249956673e+00,-9.405911813864520354e-07
-4.834999999999999715e-02,4.201669307179585644e+00,1.565108400000000177e+00,2.636560907179585467e+00,-1.465416600265741387e+01,1.580305735336621886e+00,-6.035316046926197942e-07
-4.830000000000000265e-02,4.231892307179586865e+00,1.565107200000000143e+00,2.666785107179586944e+00,-1.462394333988943096e+01,1.580289806108426509e+00,-2.848518332321248181e-07
-4.825000000000000122e-02,4.262083307179586278e+00,1.565106000000000108e+00,2.696977307179586170e+00,-1.459375165838264543e+01,1.580273631845595439e+00,-9.836617351766108186e-07
-4.819999999999999979e-02,4.292244307179585938e+00,1.565104800000000074e+00,2.727139507179585642e+00,-1.456359095902576506e+01,1.580257214826689127e+00,-6.990725571753841905e-07
-4.814999999999999836e-02,4.322374307179586594e+00,1.565103600000000039e+00,2.757270707179586555e+00,-1.453346124270749939e+01,1.580240557328364215e+00,-4.301955556229586364e-07
-4.809999999999999692e-02,4.352472307179586331e+00,1.565102400000000005e+00,2.787369907179586548e+00,-1.450336251031516355e+01,1.580223661625135945e+00,-1.176143383130323627e-06
-4.805000000000000243e-02,4.382540307179586314e+00,1.565101199999999970e+00,2.817439107179586344e+00,-1.447329476273467286e+01,1.580206529989144348e+00,-9.360300907701457618e-07
-4.800000000000000100e-02,4.412577307179586406e+00,1.565099999999999936e+00,2.847477307179586248e+00,-1.444325800085264611e+01,1.580189164689924208e+00,-7.089690163830653091e-07
-4.794999999999999957e-02,4.442583307179585717e+00,1.565098799999999901e+00,2.877484507179585815e+00,-1.441325222555221153e+01,1.580171567994180126e+00,-4.940770006456318697e-07
-4.789999999999999813e-02,4.472558307179586023e+00,1.565097599999999867e+00,2.907460707179586379e+00,-1.438327743771928802e+01,1.580153742165565145e+00,-2.904680878046406178e-07
-4.784999999999999670e-02,4.502501307179586298e+00,1.565096400000000054e+00,2.937404907179586466e+00,-1.435333363823421138e+01,1.580135689464462256e+00,-1.097261907112567769e-06
-4.780000000000000221e-02,4.532414307179585933e+00,1.565095200000000020e+00,2.967319107179585913e+00,-1.432342082798150606e+01,1.580117412147770350e+00,-9.135739031940204313e-07
-4.775000000000000078e-02,4.562296307179586563e+00,1.565093999999999985e+00,2.997202307179586356e+00,-1.429353900784151143e+01,1.580098912468694827e+00,-7.385236915347093145e-07
-4.769999999999999934e-02,4.592147307179586413e+00,1.565092799999999951e+00,3.027054507179586462e+00,-1.426368817869386696e+01,1.580080192676539985e+00,-5.712316029082842306e-07
-4.764999999999999791e-02,4.621967307179586371e+00,1.565091599999999916e+00,3.056875707179586676e+00,-1.423386834141821211e+01,1.580061255016506960e+00,-4.108179609829676338e-07
-4.760000000000000342e-02,4.651756307179586436e+00,1.565090400000000104e+00,3.086665907179586554e+00,-1.420407949689418992e+01,1.580042101729494552e+00,-2.564030925356064472e-07
-4.755000000000000199e-02,4.681513307179586469e+00,1.565089200000000069e+00,3.116424107179586400e+00,-1.417432164599794930e+01,1.580022735051903160e+00,-1.107110804809963156e-06
-4.750000000000000056e-02,4.711240307179586750e+00,1.565088000000000035e+00,3.146152307179586494e+00,-1.414459478960704075e+01,1.580003157215443821e+00,-9.620635155194179333e-07
-4.744999999999999912e-02,4.740936307179586251e+00,1.565086800000000000e+00,3.175849507179586251e+00,-1.411489892859761675e+01,1.579983370446948365e+00,-8.203850376808929923e-07
-4.739999999999999769e-02,4.770601307179585859e+00,1.565085599999999966e+00,3.205515707179586116e+00,-1.408523406384443355e+01,1.579963376968185784e+00,-6.812005826084543969e-07
-4.735000000000000320e-02,4.800235307179586464e+00,1.565084400000000153e+00,3.235150907179586532e+00,-1.405560019622155110e+01,1.579943178995680597e+00,-5.436360477339974295e-07
-4.730000000000000177e-02,4.829838307179586288e+00,1.565083200000000119e+00,3.264755107179586169e+00,-1.402599732660233123e+01,1.579922778740534328e+00,-4.068180405880639228e-07
-4.725000000000000033e-02,4.859410307179586219e+00,1.565082000000000084e+00,3.294328307179585913e+00,-1.399642545585874309e+01,1.579902178408250979e+00,-2.698745564799764907e-07
-4.719999999999999890e-02,4.888951307179586259e+00,1.565080800000000050e+00,3.323870507179586209e+00,-1.396688458486275231e+01,1.579881380198566942e+00,-1.319335973803958950e-07
-4.714999999999999747e-02,4.918461307179586406e+00,1.565079600000000015e+00,3.353381707179586613e+00,-1.393737471448562992e+01,1.579860386305282027e+00,7.876149066277093880e-09
-4.710000000000000298e-02,4.947939307179586521e+00,1.565078399999999981e+00,3.382860907179586540e+00,-1.390789584559585279e+01,1.579839198916094034e+00,-8.495768084593180447e-07
-4.705000000000000154e-02,4.977387307179585996e+00,1.565077199999999946e+00,3.412310107179585827e+00,-1.387844797906259764e+01,1.579817820212439772e+00,-7.034232591962563674e-07
-4.700000000000000011e-02,5.006804307179586466e+00,1.565075999999999912e+00,3.441728307179586555e+00,-1.384903111575434664e+01,1.579796252369335408e+00,-5.527946873584710374e-07
-4.694999999999999868e-02,5.036190307179586156e+00,1.565074799999999877e+00,3.471115507179586501e+00,-1.381964525653748410e+01,1.579774497555221258e+00,-3.968246682362064348e-07
-4.689999999999999725e-02,5.065545307179585954e+00,1.565073599999999843e+00,3.500471707179586112e+00,-1.379029040227979230e+01,1.579752557931811685e+00,-2.346453880086585286e-07
-4.685000000000000275e-02,5.094869307179585860e+00,1.565072400000000030e+00,3.529796907179585830e+00,-1.376096655384417033e+01,1.579730435653943887e+00,-6.539391250726112048e-08
-4.680000000000000132e-02,5.124162307179586762e+00,1.565071199999999996e+00,3.559091107179586544e+00,-1.373167371209700427e+01,1.579708132869434678e+00,1.117961803132061505e-07
-4.674999999999999989e-02,5.153423307179586743e+00,1.565069999999999961e+00,3.588353307179586782e+00,-1.370241187790119319e+01,1.579685651718937045e+00,-7.022121808475390026e-07
-4.669999999999999846e-02,5.182654307179586084e+00,1.565069000000000043e+00,3.617585307179585818e+00,-1.367318105211963442e+01,1.579662994335800708e+00,-7.065560576613449939e-07
-4.664999999999999702e-02,5.211854307179586421e+00,1.565067999999999904e+00,3.646786307179586295e+00,-1.364398123561383258e+01,1.579640162845935558e+00,-7.003739108668582958e-07
-4.660000000000000253e-02,5.241023307179585977e+00,1.565066999999999986e+00,3.675956307179585991e+00,-1.361481242924459423e+01,1.579617159367678436e+00,-6.828049023965832021e-07
-4.655000000000000110e-02,5.270161307179586530e+00,1.565065999999999846e+00,3.705095307179586683e+00,-1.358567463387202601e+01,1.579593986011661233e+00,-6.529888918471726811e-07
-4.649999999999999967e-02,5.299267907179586068e+00,1.565064999999999928e+00,3.734202907179586362e+00,-1.355656785035623813e+01,1.579570644880685437e+00,-1.010065729722953165e-06
-4.644999999999999823e-02,5.328343707179586275e+00,1.565063799999999894e+00,3.763279907179586381e+00,-1.352749207955454658e+01,1.579547138069595791e+00,-9.531780680305246278e-07
-4.639999999999999680e-02,5.357388507179586590e+00,1.565062599999999859e+00,3.792325907179586508e+00,-1.349844732232357458e+01,1.579523467665157943e+00,-8.814692482594921330e-07
-4.635000000000000231e-02,5.386402207179585844e+00,1.565061400000000047e+00,3.821340807179585575e+00,-1.346943357952203257e+01,1.579499635745939434e+00,-8.940805309443078386e-07
-4.630000000000000088e-02,5.415385007179586374e+00,1.565060200000000012e+00,3.850324807179586362e+00,-1.344045085200375311e+01,1.579475644382194899e+00,-7.901580385549777930e-07
-4.624999999999999944e-02,5.444336707179585844e+00,1.565058999999999978e+00,3.879277707179586088e+00,-1.341149914062395965e+01,1.579451495635749270e+00,-7.688465202271288490e-07
-4.619999999999999801e-02,5.473257407179586309e+00,1.565057799999999943e+00,3.908199607179586366e+00,-1.338257844623718107e+01,1.579427191559889199e+00,-7.292914103729231101e-07
-4.614999999999999658e-02,5.502147107179585994e+00,1.565056599999999909e+00,3.937090507179585863e+00,-1.335368876969515561e+01,1.579402734199253366e+00,-6.706409414469760577e-07
-4.610000000000000209e-02,5.531005707179586395e+00,1.565055400000000096e+00,3.965950307179586076e+00,-1.332483011185101240e+01,1.579378125589727677e+00,-6.920419415301637400e-07
-4.605000000000000066e-02,5.559833407179586295e+00,1.565054200000000062e+00,3.994779207179586233e+00,-1.329600247355579690e+01,1.579353367758340676e+00,-5.926433352954063594e-07
-4.599999999999999922e-02,5.588630007179586023e+00,1.565053000000000027e+00,4.023577007179586218e+00,-1.326720585565914945e+01,1.579328462723164961e+00,-5.715954474183604361e-07
-4.594999999999999779e-02,5.617395607179585859e+00,1.565051799999999993e+00,4.052343807179585866e+00,-1.323844025901141386e+01,1.579303412493216596e+00,-5.280479049574182682e-07
-4.590000000000000330e-02,5.646130207179586691e+00,1.565050599999999958e+00,4.081079607179586510e+00,-1.320970568446014148e+01,1.579278219068362743e+00,-4.611531121412326684e-07
-4.585000000000000187e-02,5.674833807179585854e+00,1.565049400000000146e+00,4.109784407179585486e+00,-1.318100213285358180e+01,1.579252884439226179e+00,-3.700627928537869593e-07
-4.580000000000000043e-02,5.703506307179585733e+00,1.565048200000000111e+00,4.138458107179586065e+00,-1.315232960503928972e+01,1.579227410587095370e+00,-3.539293551568789553e-07
-4.574999999999999900e-02,5.732147907179585999e+00,1.565047000000000077e+00,4.167100907179586144e+00,-1.312368810186202417e+01,1.579201799483836988e+00,-2.119080066975698173e-07
-4.569999999999999757e-02,5.760758407179586094e+00,1.565045800000000042e+00,4.195712607179586051e+00,-1.309507762416654764e+01,1.579176053091809528e+00,-1.431539544682891574e-07
