x_mm,wrapped_rad,unwrapped_rad,poly4_fit_rad,poly4_residual_rad,poly6_fit_rad,poly6_residual_rad,higher_model_fit_rad,higher_model_residual_rad
4.125000000000000194e-02,1.564948999999999923e+00,1.564948999999999923e+00,1.564830852478010126e+00,1.181475219897976103e-04,1.564977299717700276e+00,-2.829971770035299983e-05,1.566727334537464600e+00,-1.778334537464676401e-03
4.150000000000000216e-02,1.564953999999999956e+00,1.564953999999999956e+00,1.564836818389930384e+00,1.171816100695721730e-04,1.564981626408030957e+00,-2.762640803100069320e-05,1.566727591059008384e+00,-1.773591059008428061e-03
4.175000000000000239e-02,1.564958999999999989e+00,1.564958999999999989e+00,1.564842820148376834e+00,1.161798516231549172e-04,1.564985982474818460e+00,-2.698247481847104723e-05,1.566727852704033142e+00,-1.768852704033152534e-03
4.200000000000000261e-02,1.564964000000000022e+00,1.564964000000000022e+00,1.564848857749139066e+00,1.151422508609556417e-04,1.564990367974233854e+00,-2.636797423383185901e-05,1.566728119534731123e+00,-1.764119534731101169e-03
4.225000000000000283e-02,1.564969999999999972e+00,1.564969999999999972e+00,1.564854931187980691e+00,1.150688120192810970e-04,1.564994782962707331e+00,-2.478296270735924622e-05,1.566728391613679383e+00,-1.758391613679410881e-03
4.250000000000000305e-02,1.564975000000000005e+00,1.564975000000000005e+00,1.564861040460640229e+00,1.139595393597758743e-04,1.564999227496927325e+00,-2.422749692732040216e-05,1.566728669003840002e+00,-1.753669003839997131e-03
4.275000000000000328e-02,1.564980000000000038e+00,1.564980000000000038e+00,1.564867185562829777e+00,1.128144371702610727e-04,1.565003701633839173e+00,-2.370163383913492794e-05,1.566728951768561195e+00,-1.748951768561157749e-03
4.299999999999999656e-02,1.564985999999999988e+00,1.564985999999999988e+00,1.564873366490236117e+00,1.126335097638708760e-04,1.565008205430642230e+00,-2.220543064224145269e-05,1.566729239971576870e+00,-1.743239971576882041e-03
4.324999999999999678e-02,1.564991000000000021e+00,1.564991000000000021e+00,1.564879583238520722e+00,1.114167614792993533e-04,1.565012738944790760e+00,-2.173894479073901209e-05,1.566729533677006625e+00,-1.738533677006603995e-03
4.349999999999999700e-02,1.564996999999999971e+00,1.564996999999999971e+00,1.564885835803318637e+00,1.111641966813348148e-04,1.565017302233990382e+00,-2.030223399041020116e-05,1.566729832949356860e+00,-1.732832949356888363e-03
