x_mm,wrapped_rad,unwrapped_rad,quadratic_fit_rad,quadratic_residual_rad,quartic_fit_rad,quartic_residual_rad
-4.825000000000000122e-02,-2.021101999999999954e+00,4.262083307179586278e+00,4.257246427610054340e+00,4.836879569531937761e-03,4.262085037758788886e+00,-1.730579202607884781e-06
-4.819999999999999979e-02,-1.990941000000000072e+00,4.292244307179585938e+00,4.287479294548438347e+00,4.765012631147591549e-03,4.292245591232493496e+00,-1.284052907557509116e-06
-4.814999999999999836e-02,-1.960811000000000082e+00,4.322374307179586594e+00,4.317680815835252872e+00,4.693491344333722282e-03,4.322375163733658709e+00,-8.565540721150455283e-07
-4.809999999999999692e-02,-1.930712999999999901e+00,4.352472307179586331e+00,4.347850991470512128e+00,4.621315709074202971e-03,4.352473754360781655e+00,-1.447181195324276359e-06
-4.805000000000000243e-02,-1.900644999999999918e+00,4.382540307179586314e+00,4.377989821454200126e+00,4.550485725386188562e-03,4.382541362213258296e+00,-1.055033671981675525e-06
-4.800000000000000100e-02,-1.870608000000000049e+00,4.412577307179586406e+00,4.408097305786322195e+00,4.480001393264210208e-03,4.412577986391440277e+00,-6.792118538712088593e-07
-4.794999999999999957e-02,-1.840602000000000071e+00,4.442583307179585717e+00,4.438173444466892548e+00,4.409862712693168874e-03,4.442583625996626040e+00,-3.188170403234380501e-07
-4.789999999999999813e-02,-1.810626999999999986e+00,4.472558307179586023e+00,4.468218237495889866e+00,4.340069683696157199e-03,4.472558280131009312e+00,2.704857671176341682e-08
-4.784999999999999670e-02,-1.780683999999999934e+00,4.502501307179586298e+00,4.498231684873330138e+00,4.269622306256160016e-03,4.502501947897767920e+00,-6.407181816214801984e-07
-4.780000000000000221e-02,-1.750771000000000077e+00,4.532414307179585933e+00,4.528213786599199153e+00,4.200520580386779557e-03,4.532414628400973200e+00,-3.212213872672009529e-07
-4.775000000000000078e-02,-1.720888999999999891e+00,4.562296307179586563e+00,4.558164542673507569e+00,4.131764506078994259e-03,4.562296320745659273e+00,-1.356607270963650080e-08
-4.769999999999999934e-02,-1.691038000000000041e+00,4.592147307179586413e+00,4.588083953096258938e+00,4.063354083327475053e-03,4.592147024037798175e+00,2.831417882376285888e-07
-4.764999999999999791e-02,-1.661218000000000083e+00,4.621967307179586371e+00,4.617972017867439050e+00,3.995289312147320970e-03,4.621966737384267887e+00,5.697953184835569118e-07
-4.760000000000000342e-02,-1.631429000000000018e+00,4.651756307179586436e+00,4.647828736987056786e+00,3.927570192529650228e-03,4.651755459892912725e+00,8.472866737108120105e-07
-4.755000000000000199e-02,-1.601671999999999985e+00,4.681513307179586469e+00,4.677654110455119252e+00,3.859196724467217621e-03,4.681513190672507818e+00,1.165070786512956147e-07
-4.750000000000000056e-02,-1.571944999999999926e+00,4.711240307179586750e+00,4.707448138271608684e+00,3.792168907978066272e-03,4.711239928832737789e+00,3.783468489615415820e-07
-4.744999999999999912e-02,-1.542248999999999981e+00,4.740936307179586251e+00,4.737210820436542846e+00,3.725486743043404658e-03,4.740935673484267809e+00,6.336953184415961005e-07
-4.739999999999999769e-02,-1.512583999999999929e+00,4.770601307179585859e+00,4.766942156949909304e+00,3.659150229676555455e-03,4.770600423738647677e+00,8.834409381819341434e-07
-4.735000000000000320e-02,-1.482949999999999990e+00,4.800235307179586464e+00,4.796642147811708057e+00,3.593159367878406840e-03,4.800234178708405963e+00,1.128471180500412174e-06
-4.730000000000000177e-02,-1.453346999999999944e+00,4.829838307179586288e+00,4.826310793021951540e+00,3.527514157634747960e-03,4.829836937506991390e+00,1.369672594897508588e-06
-4.725000000000000033e-02,-1.423775000000000013e+00,4.859410307179586219e+00,4.855948092580625541e+00,3.462214598960677847e-03,4.859408699248771057e+00,1.607930815161751070e-06
-4.719999999999999890e-02,-1.394233999999999973e+00,4.888951307179586259e+00,4.885554046487744273e+00,3.397260691841985647e-03,4.888949463049083732e+00,1.844130502526297732e-06
-4.714999999999999747e-02,-1.364724000000000048e+00,4.918461307179586406e+00,4.915128654743289971e+00,3.332652436296434928e-03,4.918459228024165242e+00,2.079155421164102790e-06
-4.710000000000000298e-02,-1.335245999999999933e+00,4.947939307179586521e+00,4.944671917347273293e+00,3.267389832313227771e-03,4.947937993291212422e+00,1.313888374099292378e-06
-4.705000000000000154e-02,-1.305798000000000014e+00,4.977387307179585996e+00,4.974183834299703122e+00,3.203472879882873769e-03,4.977385757968358249e+00,1.549211227747093744e-06
-4.700000000000000011e-02,-1.276380999999999988e+00,5.006804307179586466e+00,5.003664405600559917e+00,3.139901579026549427e-03,5.006802521174648746e+00,1.786004937720520047e-06
-4.694999999999999868e-02,-1.246995000000000076e+00,5.036190307179586156e+00,5.033113631249859665e+00,3.076675929726491177e-03,5.036188282030096275e+00,2.025149489881528098e-06
-4.689999999999999725e-02,-1.217640000000000056e+00,5.065545307179585954e+00,5.062531511247588156e+00,3.013795931997798050e-03,5.065543039655622692e+00,2.267523963261908193e-06
-4.685000000000000275e-02,-1.188315999999999928e+00,5.094869307179585860e+00,5.091918045593756048e+00,2.951261585829811906e-03,5.094866793173098429e+00,2.514006487430719972e-06
-4.680000000000000132e-02,-1.159022999999999914e+00,5.124162307179586762e+00,5.121273234288366893e+00,2.889072891219868211e-03,5.124159541705333609e+00,2.765474253152433448e-06
-4.674999999999999989e-02,-1.129761999999999933e+00,5.153423307179586743e+00,5.150597077331408258e+00,2.826229848178485327e-03,5.153421284376056732e+00,2.022803530010719442e-06
-4.669999999999999846e-02,-1.100530999999999926e+00,5.182654307179586084e+00,5.179889574722892576e+00,2.764732456693508311e-03,5.182652020309959084e+00,2.286869626999532557e-06
-4.664999999999999702e-02,-1.071331000000000033e+00,5.211854307179586421e+00,5.209150726462805636e+00,2.703580716780784599e-03,5.211851748632630787e+00,2.558546955633289599e-06
-4.660000000000000253e-02,-1.042162000000000033e+00,5.241023307179585977e+00,5.238380532551156321e+00,2.642774628429656048e-03,5.241020468470630078e+00,2.838708955898994191e-06
-4.655000000000000110e-02,-1.013023999999999925e+00,5.270161307179586530e+00,5.267578992987948183e+00,2.582314191638346301e-03,5.270158178951446004e+00,3.128228140525379786e-06
