x_mm,unwrapped_rad,sphere_fit_rad,sphere_residual_rad
-4.950000000000000233e-02,3.497998307179586153e+00,3.491178929917536422e+00,6.819377262049730604e-03
-4.945000000000000090e-02,3.528933307179586087e+00,3.522196243808727090e+00,6.737063370858997757e-03
-4.939999999999999947e-02,3.559837307179586130e+00,3.553182207979022067e+00,6.655099200564063011e-03
-4.934999999999999803e-02,3.590711307179586420e+00,3.584136822428423130e+00,6.574484751163289786e-03
-4.929999999999999660e-02,3.621553307179586234e+00,3.615060087156928503e+00,6.493220022657730794e-03
-4.925000000000000211e-02,3.652364307179586156e+00,3.645952002216962029e+00,6.412304962624126858e-03
-4.920000000000000068e-02,3.683144307179586185e+00,3.676812567503676021e+00,6.331739675910164067e-03
-4.914999999999999925e-02,3.713893307179586323e+00,3.707641783174338457e+00,6.251524005247866000e-03
-4.909999999999999781e-02,3.744612307179586264e+00,3.738439649124106978e+00,6.172658055479285366e-03
-4.905000000000000332e-02,3.775299307179586172e+00,3.769206165457822166e+00,6.093141721764006036e-03
-4.900000000000000189e-02,3.805955307179586189e+00,3.799941332123061954e+00,6.013975056524234475e-03
-4.895000000000000046e-02,3.836580307179586313e+00,3.830645149119828119e+00,5.935158059758194327e-03
-4.889999999999999902e-02,3.867175307179586241e+00,3.861317616500539174e+00,5.857690679047067306e-03
-4.884999999999999759e-02,3.897738307179586137e+00,3.891958734265196895e+00,5.779572914389241589e-03
-4.880000000000000310e-02,3.928271307179586280e+00,3.922568502361380993e+00,5.702804818205287063e-03
-4.875000000000000167e-02,3.958772307179586392e+00,3.953146920893928495e+00,5.625386285657896224e-03
-4.870000000000000023e-02,3.989243307179586306e+00,3.983693989862842955e+00,5.549317316743351824e-03
-4.864999999999999880e-02,4.019682307179586189e+00,4.014209709215704081e+00,5.472597963882108729e-03
-4.859999999999999737e-02,4.050091307179586764e+00,4.044694079004930387e+00,5.397228174656376609e-03
-4.855000000000000288e-02,4.080468307179586418e+00,4.075147099230521874e+00,5.321207949064543641e-03
-4.850000000000000144e-02,4.110815307179586320e+00,4.105568769892480319e+00,5.246537287106001202e-03
-4.845000000000000001e-02,4.141131307179586329e+00,4.135959090990803944e+00,5.172216188782385871e-03
-4.839999999999999858e-02,4.171415307179586307e+00,4.166318062577913039e+00,5.097244601673267539e-03
-4.834999999999999715e-02,4.201669307179585644e+00,4.196645684653807606e+00,5.023622525778037584e-03
-4.830000000000000265e-02,4.231892307179586865e+00,4.226941957218485868e+00,4.950349961100997120e-03
-4.825000000000000122e-02,4.262083307179586278e+00,4.257206880271951377e+00,4.876426907634900942e-03
-4.819999999999999979e-02,4.292244307179585938e+00,4.287440453814204133e+00,4.803853365381804963e-03
-4.814999999999999836e-02,4.322374307179586594e+00,4.317642677845244137e+00,4.731629334342457582e-03
-4.809999999999999692e-02,4.352472307179586331e+00,4.347813552469908416e+00,4.658754709677914718e-03
-4.805000000000000243e-02,4.382540307179586314e+00,4.377953077583358166e+00,4.587229596228148409e-03
-4.800000000000000100e-02,4.412577307179586406e+00,4.408061253238015453e+00,4.516053941570952190e-03
-4.794999999999999957e-02,4.442583307179585717e+00,4.438138079486298793e+00,4.445227693286923909e-03
-4.789999999999999813e-02,4.472558307179586023e+00,4.468183556275786117e+00,4.374750903799906609e-03
-4.784999999999999670e-02,4.502501307179586298e+00,4.498197683658901269e+00,4.303623520685029291e-03
-4.780000000000000221e-02,4.532414307179585933e+00,4.528180461635640697e+00,4.233845543945236045e-03
-4.775000000000000078e-02,4.562296307179586563e+00,4.558131890153587662e+00,4.164417025998901067e-03
-4.769999999999999934e-02,4.592147307179586413e+00,4.588051969317580969e+00,4.095337862005443696e-03
-4.764999999999999791e-02,4.621967307179586371e+00,4.617940699075198552e+00,4.026608104387818798e-03
-4.760000000000000342e-02,4.651756307179586436e+00,4.647798079478864253e+00,3.958227700722183329e-03
-4.755000000000000199e-02,4.681513307179586469e+00,4.677624110528574519e+00,3.889196651011950223e-03
-4.750000000000000056e-02,4.711240307179586750e+00,4.707418792171910837e+00,3.821515007675913012e-03
-4.744999999999999912e-02,4.740936307179586251e+00,4.737182124513713788e+00,3.754182665872463076e-03
-4.739999999999999769e-02,4.770601307179585859e+00,4.766914107501559528e+00,3.687199678026331640e-03
-4.735000000000000320e-02,4.800235307179586464e+00,4.796614741187875453e+00,3.620565991711011122e-03
-4.730000000000000177e-02,4.829838307179586288e+00,4.826284025520235943e+00,3.554281659350344569e-03
-4.725000000000000033e-02,4.859410307179586219e+00,4.855921960551063066e+00,3.488346628523153470e-03
-4.719999999999999890e-02,4.888951307179586259e+00,4.885528546332777111e+00,3.422760846809147495e-03
-4.714999999999999747e-02,4.918461307179586406e+00,4.915103782760537499e+00,3.357524419048907305e-03
-4.710000000000000298e-02,4.947939307179586521e+00,4.944647669939183032e+00,3.291637240403488818e-03
-4.705000000000000154e-02,4.977387307179585996e+00,4.974160207816295198e+00,3.227099363290797385e-03
-4.700000000000000011e-02,5.006804307179586466e+00,5.003641396496714577e+00,3.162910682871888923e-03
-4.694999999999999868e-02,5.036190307179586156e+00,5.033091235875598812e+00,3.099071303987344095e-03
-4.689999999999999725e-02,5.065545307179585954e+00,5.062509726057790260e+00,3.035581121795694060e-03
-4.685000000000000275e-02,5.094869307179585860e+00,5.091896866990866855e+00,2.972440188719005505e-03
-4.680000000000000132e-02,5.124162307179586762e+00,5.121252658674830371e+00,2.909648504756390253e-03
-4.674999999999999989e-02,5.153423307179586743e+00,5.150577101214519615e+00,2.846205965067127863e-03
-4.669999999999999846e-02,5.182654307179586084e+00,5.179870194505095782e+00,2.784112674490302197e-03
